st_abb,st_code,ym,tmin,tmax,tavg,ppt
AL,1,198101,-3.205,11.428,4.112,34.136
AR,5,198101,-3.541,10.039,3.249,27.502
AZ,4,198101,0.343,14.894,7.619,17.308
CA,6,198101,2.264,13.607,7.936,113.911
CO,8,198101,-9.283,7.325,-0.979,7.307
CT,9,198101,-13.591,-2.36,-7.975,16.676
DE,10,198101,-7.181,1.776,-2.702,13.554
FL,12,198101,1.557,17.388,9.472,21.877
GA,13,198101,-2.851,11.935,4.542,29.077
IA,19,198101,-11.779,1.215,-5.282,1.171
ID,16,198101,-6.537,3.166,-1.686,32.223
IL,17,198101,-9.286,1.358,-3.964,7.179
IN,18,198101,-10.117,0.116,-5,10.373
KS,20,198101,-7.334,8.198,0.432,4.52
KY,21,198101,-7.597,3.687,-1.955,22.122
LA,22,198101,0.409,13.916,7.163,43.451
MA,25,198101,-14.97,-3.224,-9.097,22.914
MD,24,198101,-7.514,1.778,-2.868,12.989
ME,23,198101,-20.667,-7.82,-14.243,37.399
MI,26,198101,-14.135,-3.865,-9,21.499
MN,27,198101,-17.124,-4.056,-10.59,3.569
MO,29,198101,-7.674,5.59,-1.042,11.068
MS,28,198101,-2.284,11.738,4.727,38.466
MT,30,198101,-7.462,4.427,-1.518,10.968
NC,37,198101,-5.496,7.655,1.079,25.786
ND,38,198101,-14.657,-2.438,-8.548,7.063
NE,31,198101,-9.22,6.584,-1.318,2.346
NH,33,198101,-18.751,-6.047,-12.399,16.938
NJ,34,198101,-10.547,0.095,-5.226,13.484
NM,35,198101,-5.001,10.998,2.999,10.031
NV,32,198101,-4.728,8.589,1.93,19.843
NY,36,198101,-16.729,-5.202,-10.965,22.856
OH,39,198101,-10.641,-1.374,-6.007,16.103
OK,40,198101,-3.94,11.047,3.554,5.606
OR,41,198101,-1.869,5.932,2.031,53.982
PA,42,198101,-12.191,-2.26,-7.226,17.96
RI,44,198101,-13.181,-1.776,-7.478,20.109
SC,45,198101,-3.82,11.089,3.634,20.174
SD,46,198101,-10.639,2.952,-3.843,1.787
TN,47,198101,-6.185,6.308,0.062,40.588
TX,48,198101,0.736,14.607,7.671,28.838
UT,49,198101,-6.066,6.288,0.111,14.501
VA,51,198101,-7.348,4.136,-1.606,14.867
VT,50,198101,-20.868,-7.456,-14.162,17.336
WA,53,198101,-0.54,5.381,2.421,51.582
WI,55,198101,-15.622,-3.381,-9.502,2.695
WV,54,198101,-9.718,0.783,-4.468,25.925
WY,56,198101,-9.118,5.048,-2.035,10.522
AL,1,198102,1.033,14.967,8,169.485
AR,5,198102,-0.703,12.774,6.035,82.508
AZ,4,198102,0.007,16.371,8.189,19.04
CA,6,198102,1.998,14.757,8.377,56.748
CO,8,198102,-9.929,6.915,-1.507,16.032
CT,9,198102,-5.365,6.261,0.448,208.832
DE,10,198102,-2.14,9.081,3.47,90.559
FL,12,198102,8.033,21.628,14.831,115.26
GA,13,198102,1.855,15.948,8.902,145.82
IA,19,198102,-9.264,3.079,-3.092,37.826
ID,16,198102,-8.052,3.582,-2.235,63.139
IL,17,198102,-6.901,4.748,-1.076,57.651
IN,18,198102,-6.622,4.639,-0.992,64.707
KS,20,198102,-6.412,10.196,1.892,7.387
KY,21,198102,-5.069,9.026,1.979,103.452
LA,22,198102,3.893,16.302,10.098,121.751
MA,25,198102,-6.098,5.434,-0.332,198.154
MD,24,198102,-3.107,8.586,2.739,102.292
ME,23,198102,-8.687,2.41,-3.139,97.58
MI,26,198102,-9.294,-0.097,-4.695,56.779
MN,27,198102,-12.642,-1.677,-7.16,30.533
MO,29,198102,-5.59,8.286,1.348,46.012
MS,28,198102,1.643,14.911,8.277,116.544
MT,30,198102,-9.171,2.293,-3.439,27.669
NC,37,198102,-1.795,12.42,5.312,89.253
ND,38,198102,-12.641,-1.528,-7.084,9.664
NE,31,198102,-9.325,6.386,-1.469,8.392
NH,33,198102,-8.214,3.261,-2.477,212.395
NJ,34,198102,-3.985,7.926,1.97,115.348
NM,35,198102,-5.05,13.588,4.269,7.204
NV,32,198102,-5.38,8.929,1.774,11.377
NY,36,198102,-7.07,4.039,-1.516,118.744
OH,39,198102,-6.49,4.227,-1.131,88.803
OK,40,198102,-1.723,13.386,5.831,38.706
OR,41,198102,-3.539,7.031,1.746,98.969
PA,42,198102,-6.815,4.807,-1.004,134.989
RI,44,198102,-4.26,6.671,1.206,150.773
SC,45,198102,0.44,14.837,7.639,91.988
SD,46,198102,-10.515,3.039,-3.738,6.715
TN,47,198102,-3.169,11.043,3.937,105.242
TX,48,198102,2.284,16.97,9.627,26.631
UT,49,198102,-6.841,7.715,0.438,14.306
VA,51,198102,-3.8,9.973,3.086,88.019
VT,50,198102,-8.741,2.894,-2.924,174.924
WA,53,198102,-2.232,5.799,1.784,159.644
WI,55,198102,-11.41,-0.774,-6.092,62.389
WV,54,198102,-6.961,7.203,0.121,95.549
WY,56,198102,-10.525,3.106,-3.71,16.774
AL,1,198103,3.356,18.885,11.121,145.539
AR,5,198103,3.301,17.072,10.187,105.904
AZ,4,198103,2.008,16.165,9.086,52.666
CA,6,198103,3.03,14.735,8.882,102.335
CO,8,198103,-5.838,8.239,1.2,63.065
CT,9,198103,-2.976,7.339,2.182,15.971
DE,10,198103,-0.311,9.938,4.813,45.424
FL,12,198103,9.213,23.377,16.295,79.523
GA,13,198103,3.994,19.282,11.638,106.999
IA,19,198103,-3.439,10.835,3.698,19.061
ID,16,198103,-4.425,8.733,2.154,48.103
IL,17,198103,-1.508,10.755,4.623,28.29
IN,18,198103,-2.09,9.773,3.842,32.773
KS,20,198103,-0.362,14.526,7.082,54.01
KY,21,198103,-0.852,12.388,5.768,77.825
LA,22,198103,7.293,20.797,14.045,92.151
MA,25,198103,-3.552,6.529,1.488,18.312
MD,24,198103,-0.721,10.002,4.64,42.882
ME,23,198103,-6.507,3.561,-1.473,43.356
MI,26,198103,-5.2,5.108,-0.046,21.009
MN,27,198103,-6.275,6.749,0.237,23.127
MO,29,198103,-0.16,13.914,6.877,48.235
MS,28,198103,4.517,19.272,11.894,147.499
MT,30,198103,-5.165,9.392,2.113,32.19
NC,37,198103,0.368,15.037,7.703,67.092
ND,38,198103,-6.164,7.755,0.796,6.441
NE,31,198103,-3.605,12.533,4.464,45.935
NH,33,198103,-5.872,4.414,-0.729,29.016
NJ,34,198103,-2.122,8.639,3.259,38.92
NM,35,198103,-1.436,13.389,5.976,31.214
NV,32,198103,-2.836,10.175,3.669,44.108
NY,36,198103,-5.216,4.829,-0.193,29.667
OH,39,198103,-2.823,7.971,2.574,36.787
OK,40,198103,3.516,16.892,10.204,65.751
OR,41,198103,-1.522,10.308,4.393,79.892
PA,42,198103,-4.369,6.101,0.866,36.691
RI,44,198103,-2.219,7.602,2.691,19.906
SC,45,198103,2.481,18.204,10.342,74.236
SD,46,198103,-5.482,11.45,2.984,24.076
TN,47,198103,0.289,14.336,7.313,105.276
TX,48,198103,6.275,19.576,12.926,57.225
UT,49,198103,-3.149,9.536,3.193,55.978
VA,51,198103,-1.455,11.768,5.157,47.83
VT,50,198103,-6.486,3.536,-1.475,32.641
WA,53,198103,-0.248,10.956,5.354,72.158
WI,55,198103,-5.718,6.322,0.302,17.062
WV,54,198103,-3.338,8.315,2.488,69.461
WY,56,198103,-6.301,8.1,0.9,28.895
AL,1,198104,12.097,26.586,19.342,76.273
AR,5,198104,12.279,25.821,19.05,64.345
AZ,4,198104,7.126,24.377,15.752,12.936
CA,6,198104,5.811,20.749,13.28,23.683
CO,8,198104,0.521,17.07,8.795,25.121
CT,9,198104,3.857,15.686,9.771,94.26
DE,10,198104,7.608,19.224,13.416,112.551
FL,12,198104,15.354,28.925,22.139,10.776
GA,13,198104,11.912,26.853,19.383,69.209
IA,19,198104,5.123,18.98,12.051,85.934
ID,16,198104,-1.342,11.816,5.237,66.594
IL,17,198104,7.438,20.319,13.878,127.715
IN,18,198104,6.473,19.486,12.98,144.857
KS,20,198104,8.211,23.745,15.978,40.787
KY,21,198104,8.758,22.925,15.842,131.644
LA,22,198104,15.687,27.581,21.634,33.633
MA,25,198104,2.86,14.833,8.846,95.837
MD,24,198104,7.306,19.952,13.629,95.941
ME,23,198104,-0.63,10.249,4.809,83.012
MI,26,198104,1.128,13.024,7.076,106.419
MN,27,198104,0.548,13.536,7.042,63.203
MO,29,198104,9.306,23.478,16.392,79.856
MS,28,198104,13.781,27.12,20.451,51.072
MT,30,198104,-0.998,13.478,6.24,28.778
NC,37,198104,9.093,24.122,16.608,36.418
ND,38,198104,-0.669,15.455,7.393,22.737
NE,31,198104,5.189,20.876,13.032,35.679
NH,33,198104,0.331,12.83,6.58,87.817
NJ,34,198104,5.57,17.885,11.728,105.089
NM,35,198104,3.965,21.838,12.902,19.319
NV,32,198104,1.36,17.317,9.338,20.82
NY,36,198104,1.928,13.899,7.913,83.941
OH,39,198104,4.957,18.156,11.556,127.972
OK,40,198104,11.341,25.353,18.347,54.892
OR,41,198104,0.42,13.201,6.811,62.208
PA,42,198104,3.219,16.475,9.847,117.19
RI,44,198104,4.375,15.264,9.819,109.736
SC,45,198104,11.307,26.564,18.935,40.51
SD,46,198104,2.684,18.641,10.662,17.192
TN,47,198104,10.026,24.114,17.07,107.184
TX,48,198104,13.409,26.465,19.937,66.916
UT,49,198104,1.768,17.176,9.472,27.675
VA,51,198104,6.858,21.824,14.341,67.574
VT,50,198104,0.113,12.345,6.229,85.025
WA,53,198104,1.097,12.145,6.621,119.17
WI,55,198104,1.35,13.818,7.584,106.941
WV,54,198104,4.832,20.306,12.569,104.106
WY,56,198104,-1.254,13.869,6.307,28.871
AL,1,198105,12.657,26.485,19.571,99.363
AR,5,198105,12.254,24.498,18.376,191.858
AZ,4,198105,10.186,26.911,18.549,14.454
CA,6,198105,8.781,23.919,16.35,24.664
CO,8,198105,2.839,17.324,10.081,81.891
CT,9,198105,8.014,21.443,14.729,85.054
DE,10,198105,10.982,22.014,16.498,127.961
FL,12,198105,16.551,30.576,23.563,61.392
GA,13,198105,12.788,27.404,20.096,66.098
IA,19,198105,7.634,20.723,14.178,63.639
ID,16,198105,2.337,15.032,8.685,82.568
IL,17,198105,8.781,20.286,14.534,157.286
IN,18,198105,8.599,20.248,14.423,187.539
KS,20,198105,9.182,21.897,15.54,162.297
KY,21,198105,9.529,22.379,15.954,159.914
LA,22,198105,15.917,27.49,21.703,146.22
MA,25,198105,7.457,20.635,14.046,70.548
MD,24,198105,10.32,22.065,16.193,118.146
ME,23,198105,5.625,18.23,11.927,88.347
MI,26,198105,4.514,18.16,11.337,69.978
MN,27,198105,5.18,19.314,12.247,49.449
MO,29,198105,9.448,21.694,15.571,192.847
MS,28,198105,13.934,26.708,20.321,132.471
MT,30,198105,4.024,16.542,10.283,117.04
NC,37,198105,10.936,24.494,17.715,122.387
ND,38,198105,4.771,18.993,11.882,37.765
NE,31,198105,6.658,19.739,13.198,108.829
NH,33,198105,5.9,19.974,12.937,99.609
NJ,34,198105,9.538,22.322,15.93,117.936
NM,35,198105,7.235,24.169,15.702,29.234
NV,32,198105,4.352,19.719,12.035,44.372
NY,36,198105,6.063,19.902,12.982,81.532
OH,39,198105,7.932,19.985,13.959,128.7
OK,40,198105,12.113,24.789,18.451,136.307
OR,41,198105,3.073,16.358,9.715,74.155
PA,42,198105,6.827,20.846,13.836,85.647
RI,44,198105,8.079,20.408,14.243,62.535
SC,45,198105,12.484,27.217,19.85,80.235
SD,46,198105,5.952,19.608,12.78,57.123
TN,47,198105,10.337,23.351,16.844,116.312
TX,48,198105,14.854,28.296,21.575,108.657
UT,49,198105,4.328,18.987,11.658,57.352
VA,51,198105,9.25,22.66,15.955,113.065
VT,50,198105,5.58,19.572,12.576,95.877
WA,53,198105,4.516,16.259,10.388,72.387
WI,55,198105,4.712,18.968,11.84,49.664
WV,54,198105,7.197,20.938,14.067,146.825
WY,56,198105,2.29,14.878,8.584,104.725
AL,1,198106,20.388,32.846,26.617,82.367
AR,5,198106,19.899,31.017,25.458,131.961
AZ,4,198106,17.158,35.017,26.088,11.347
CA,6,198106,14.092,31.346,22.719,2.585
CO,8,198106,9.237,26.477,17.857,29.329
CT,9,198106,13.186,25.513,19.35,81.629
DE,10,198106,17.424,27.91,22.667,95.989
FL,12,198106,22.209,33.99,28.099,135.872
GA,13,198106,20.568,33.668,27.118,95.985
IA,19,198106,14.825,27.643,21.234,135.643
ID,16,198106,5.382,19.8,12.591,68.503
IL,17,198106,16.989,28.24,22.614,136.843
IN,18,198106,16.478,27.901,22.19,111.012
KS,20,198106,17.007,31.028,24.018,96.007
KY,21,198106,17.341,29.255,23.298,125.98
LA,22,198106,22.32,32.411,27.365,179.518
MA,25,198106,12.751,24.973,18.862,84.325
MD,24,198106,17.053,28.053,22.553,117.074
ME,23,198106,10.136,22.167,16.151,114.592
MI,26,198106,11.502,23.808,17.655,105.343
MN,27,198106,11.214,23.45,17.332,145.033
MO,29,198106,17.498,29.008,23.253,189.686
MS,28,198106,21.156,32.541,26.848,91.964
MT,30,198106,6.229,19.784,13.006,80.795
NC,37,198106,19.222,31.283,25.253,101.031
ND,38,198106,9.407,22.55,15.979,100.48
NE,31,198106,13.324,28.906,21.115,56.972
NH,33,198106,10.697,23.585,17.141,101.992
NJ,34,198106,15.413,26.758,21.086,108.244
NM,35,198106,12.974,31.548,22.261,29.663
NV,32,198106,10.137,28.131,19.134,3.543
NY,36,198106,11.623,23.689,17.656,98.699
OH,39,198106,14.808,26.595,20.701,162.674
OK,40,198106,19.686,31.881,25.783,104.885
OR,41,198106,5.843,20.88,13.362,62.599
PA,42,198106,12.765,25.244,19.005,145.247
RI,44,198106,13.727,25.331,19.529,91.74
SC,45,198106,20.78,33.562,27.171,99.241
SD,46,198106,11.442,26.089,18.765,70.263
TN,47,198106,18.245,30.145,24.195,139.736
TX,48,198106,20.089,32.443,26.266,132.524
UT,49,198106,10.585,27.785,19.185,10.629
VA,51,198106,17.132,29.312,23.222,83.215
VT,50,198106,10.298,22.871,16.584,106.873
WA,53,198106,6.507,17.996,12.251,100.787
WI,55,198106,11.923,23.977,17.95,128.27
WV,54,198106,14.23,26.758,20.494,167.42
WY,56,198106,6.762,22.359,14.56,29.717
AL,1,198107,21.084,33.952,27.518,96.202
AR,5,198107,21.568,33.139,27.353,114.506
AZ,4,198107,19.47,34.695,27.083,55.507
CA,6,198107,15.052,33.082,24.067,1.02
CO,8,198107,11.75,27.894,19.822,73.244
CT,9,198107,16.413,28.308,22.36,106.211
DE,10,198107,19.604,29.975,24.789,60.471
FL,12,198107,22.621,34.07,28.345,138.277
GA,13,198107,21.408,34.211,27.809,93.074
IA,19,198107,17.523,28.302,22.913,120.688
ID,16,198107,7.923,26.843,17.383,19.922
IL,17,198107,18.481,29.172,23.827,158.956
IN,18,198107,17.934,29.075,23.505,121.192
KS,20,198107,19.84,32.43,26.135,114.757
KY,21,198107,19.102,30.381,24.741,136.124
LA,22,198107,23.122,33.903,28.512,119.486
MA,25,198107,15.622,27.394,21.508,108.032
MD,24,198107,18.863,29.359,24.111,107.872
ME,23,198107,13.033,24.903,18.968,119.783
MI,26,198107,13.46,26.573,20.016,55.481
MN,27,198107,14.491,26.716,20.604,93.767
MO,29,198107,20.042,31.035,25.539,186.886
MS,28,198107,21.845,33.849,27.847,111.253
MT,30,198107,9.975,27.124,18.549,38.824
NC,37,198107,19.732,31.074,25.403,141.107
ND,38,198107,13.692,28.447,21.07,73.85
NE,31,198107,16.65,30.074,23.362,117.661
NH,33,198107,13.626,25.567,19.596,150.093
NJ,34,198107,18.445,29.633,24.039,98.771
NM,35,198107,15.406,31.129,23.268,73.883
NV,32,198107,12.518,31.974,22.246,4.483
NY,36,198107,14.482,26.148,20.315,107.944
OH,39,198107,16.518,28.381,22.449,97.104
OK,40,198107,22.33,34.755,28.542,96.206
OR,41,198107,7.867,26.328,17.097,12.223
PA,42,198107,15.06,27.039,21.05,113.826
RI,44,198107,16.805,27.999,22.402,78.509
SC,45,198107,21.279,32.857,27.068,152.871
SD,46,198107,15.722,29.862,22.792,97.335
TN,47,198107,19.697,31.306,25.502,137.702
TX,48,198107,21.618,34.526,28.072,56.145
UT,49,198107,13.954,31.101,22.527,22.829
VA,51,198107,18.222,29.674,23.948,129.378
VT,50,198107,13.153,25.306,19.229,126.674
WA,53,198107,9.582,23.559,16.57,32.273
WI,55,198107,14.035,26.151,20.093,84.573
WV,54,198107,15.826,27.681,21.754,114.983
WY,56,198107,10.009,27.435,18.722,46.488
AL,1,198108,20.014,31.551,25.783,112.844
AR,5,198108,19.173,31.404,25.289,87.32
AZ,4,198108,18.452,34.348,26.4,42.174
CA,6,198108,15.214,33.187,24.201,2.604
CO,8,198108,10.102,25.909,18.006,58.222
CT,9,198108,14.207,27.161,20.684,26.906
DE,10,198108,17.176,27.9,22.539,96.69
FL,12,198108,22.465,32.073,27.269,247.523
GA,13,198108,19.75,30.153,24.951,125.097
IA,19,198108,15.354,26.863,21.109,129.383
ID,16,198108,9.472,29.34,19.406,7.029
IL,17,198108,16.609,27.839,22.224,140.459
IN,18,198108,16.212,27.781,21.997,104.119
KS,20,198108,16.92,30.492,23.706,66.813
KY,21,198108,16.958,29.098,23.028,74.368
LA,22,198108,21.986,33.735,27.86,76.443
MA,25,198108,13.55,26.249,19.899,42.574
MD,24,198108,16.321,27.887,22.104,66.618
ME,23,198108,10.991,23.934,17.462,136.217
MI,26,198108,13.226,25.643,19.434,88.155
MN,27,198108,13.666,25.392,19.53,103.652
MO,29,198108,17.199,29.336,23.268,78.537
MS,28,198108,20.625,33.216,26.92,60.985
MT,30,198108,10.561,28.85,19.705,20.755
NC,37,198108,17.718,28.52,23.119,149.823
ND,38,198108,13.116,28.395,20.756,62.137
NE,31,198108,14.583,28.535,21.559,92.017
NH,33,198108,11.076,24.16,17.618,106.047
NJ,34,198108,16.13,27.75,21.94,72.89
NM,35,198108,13.552,28.783,21.167,85.357
NV,32,198108,12.489,32.235,22.362,9.08
NY,36,198108,12.798,25.017,18.908,82.657
OH,39,198108,14.833,27.44,21.136,58.743
OK,40,198108,19.395,32.384,25.889,82.276
OR,41,198108,9.453,29.424,19.439,2.795
PA,42,198108,13.184,26.115,19.65,55.618
RI,44,198108,14.493,26.646,20.569,30.564
SC,45,198108,19.632,29.517,24.574,150.168
SD,46,198108,14.35,28.817,21.583,59.971
TN,47,198108,17.734,29.445,23.589,85.534
TX,48,198108,20.212,33.604,26.908,75.681
UT,49,198108,12.759,30.187,21.473,28.929
VA,51,198108,15.593,28.082,21.838,78.435
VT,50,198108,10.795,23.73,17.262,119.513
WA,53,198108,11.576,27.909,19.742,8.961
WI,55,198108,13.787,25.22,19.503,124.21
WV,54,198108,13.513,26.96,20.237,48.418
WY,56,198108,9.082,27.129,18.105,21.401
AL,1,198109,14.708,29.442,22.075,49.266
AR,5,198109,14.27,28.767,21.518,45.305
AZ,4,198109,14.763,30.789,22.776,29.288
CA,6,198109,12.973,29.638,21.306,16.778
CO,8,198109,6.879,23.514,15.197,27.245
CT,9,198109,10.376,21.378,15.877,102.954
DE,10,198109,14.332,24.804,19.568,105.815
FL,12,198109,19.969,31.34,25.654,112.836
GA,13,198109,15.427,29.751,22.589,41.592
IA,19,198109,9.812,24.165,16.989,65.401
ID,16,198109,4.645,22.628,13.637,22.703
IL,17,198109,11.515,24.5,18.007,70.839
IN,18,198109,11.64,23.671,17.656,85.443
KS,20,198109,12.524,28.327,20.426,55.953
KY,21,198109,11.713,25.624,18.669,79.754
LA,22,198109,17.51,30.73,24.12,77.684
MA,25,198109,9.793,20.595,15.194,100.598
MD,24,198109,13.716,24.377,19.047,84.096
ME,23,198109,7.208,18.206,12.707,162.166
MI,26,198109,7.919,19.488,13.703,96.223
MN,27,198109,6.752,20.442,13.597,49.742
MO,29,198109,12.348,26.682,19.515,46.824
MS,28,198109,15.044,29.649,22.346,81.491
MT,30,198109,4.609,22.763,13.686,19.35
NC,37,198109,13.218,26.883,20.05,72.743
ND,38,198109,5.942,22.151,14.046,46.787
NE,31,198109,9.141,26.281,17.711,29.409
NH,33,198109,7.986,18.738,13.362,139.555
NJ,34,198109,12.91,23.614,18.262,85.613
NM,35,198109,10.335,26.123,18.229,45.685
NV,32,198109,8.609,26.788,17.698,12.186
NY,36,198109,9.484,19.186,14.335,141.507
OH,39,198109,11.1,22.681,16.89,95.128
OK,40,198109,15.762,30.048,22.905,52.365
OR,41,198109,5.892,23.582,14.737,42.968
PA,42,198109,10.257,20.909,15.583,96.104
RI,44,198109,10.953,21.482,16.218,88.654
SC,45,198109,14.785,29.241,22.013,37.193
SD,46,198109,8.09,25.513,16.802,22.863
TN,47,198109,12.201,26.412,19.306,81.092
TX,48,198109,16.869,30.945,23.907,56.137
UT,49,198109,9.237,25.369,17.303,34.131
VA,51,198109,12.061,25.205,18.633,86.69
VT,50,198109,7.889,18.426,13.157,152.061
WA,53,198109,7.07,21.445,14.258,73.791
WI,55,198109,7.306,20.035,13.671,72.545
WV,54,198109,10.105,23.298,16.701,105.188
WY,56,198109,4.685,23.13,13.907,16.94
AL,1,198110,9.527,23.595,16.561,78.139
AR,5,198110,9.175,21.683,15.429,145.953
AZ,4,198110,7.599,22.952,15.276,29.247
CA,6,198110,6.365,20.8,13.583,65.872
CO,8,198110,0.21,14.908,7.559,50.711
CT,9,198110,2.944,14.734,8.839,148.093
DE,10,198110,6.564,18.153,12.358,75.056
FL,12,198110,16.568,28.837,22.703,42.282
GA,13,198110,10.006,23.855,16.931,77.732
IA,19,198110,2.93,15.598,9.264,62.468
ID,16,198110,-1.305,11.475,5.085,53.302
IL,17,198110,4.734,17.426,11.08,64.458
IN,18,198110,4.201,17.157,10.679,64.57
KS,20,198110,5.989,19.322,12.655,58.319
KY,21,198110,5.694,19.768,12.731,83.252
LA,22,198110,13.366,25.678,19.522,98.913
MA,25,198110,2.381,13.835,8.108,127.246
MD,24,198110,5.827,17.651,11.739,79.401
ME,23,198110,0.419,10.923,5.671,159.643
MI,26,198110,1.002,11.649,6.325,107.212
MN,27,198110,0.869,11.024,5.946,90.918
MO,29,198110,6.078,19.132,12.605,110.672
MS,28,198110,10.551,23.956,17.254,80.159
MT,30,198110,-1.489,11.66,5.085,37.896
NC,37,198110,6.582,21.184,13.883,71.622
ND,38,198110,-0.34,12.103,5.881,33.561
NE,31,198110,2.309,16.684,9.497,31.464
NH,33,198110,0.111,11.815,5.963,147.733
NJ,34,198110,4.701,16.791,10.746,93.816
NM,35,198110,4.662,19.948,12.305,34.339
NV,32,198110,0.707,15.908,8.307,38.586
NY,36,198110,1.504,12.159,6.832,132.876
OH,39,198110,3.246,16.644,9.945,63.938
OK,40,198110,9.857,21.473,15.665,177.944
OR,41,198110,1.082,14.268,7.675,90.959
PA,42,198110,2.309,14.464,8.386,113.611
RI,44,198110,3.637,14.819,9.228,108.832
SC,45,198110,8.447,23.295,15.871,70.969
SD,46,198110,1.67,14.668,8.169,41.333
TN,47,198110,6.769,20.478,13.623,104.908
TX,48,198110,12.743,25.185,18.964,145.15
UT,49,198110,1.355,14.721,8.038,76.906
VA,51,198110,4.472,18.858,11.665,92.866
VT,50,198110,-0.312,11.002,5.345,151.543
WA,53,198110,2.01,13.152,7.581,130.235
WI,55,198110,0.838,11.964,6.401,85.773
WV,54,198110,2.743,17.352,10.047,90.357
WY,56,198110,-2.261,11.495,4.617,40.952
AL,1,198111,4.65,20.502,12.576,42.532
AR,5,198111,4.275,18.304,11.289,56
AZ,4,198111,2.89,20.106,11.498,31.315
CA,6,198111,4.8,17.017,10.909,149.799
CO,8,198111,-4.389,11.052,3.331,19.796
CT,9,198111,0.213,10.166,5.19,57.685
DE,10,198111,3.128,13.167,8.148,21.279
FL,12,198111,10.113,24.282,17.197,58.893
GA,13,198111,5.021,19.992,12.507,42.718
IA,19,198111,-0.912,10.043,4.565,47.657
ID,16,198111,-3.341,7.322,1.991,89.605
IL,17,198111,1.162,12.444,6.803,48.18
IN,18,198111,0.301,12.119,6.21,46.22
KS,20,198111,0.495,14.258,7.377,75.523
KY,21,198111,1.58,14.734,8.157,41.045
LA,22,198111,8.811,22.46,15.635,54.596
MA,25,198111,-0.432,9.194,4.381,83.198
MD,24,198111,2.497,12.824,7.66,18.152
ME,23,198111,-3.158,5.154,0.998,76.739
MI,26,198111,-2.454,8.229,2.887,38.649
MN,27,198111,-3.309,7.134,1.913,17.564
MO,29,198111,1.72,14.558,8.139,75.531
MS,28,198111,5.626,21.077,13.352,39.794
MT,30,198111,-4.368,8.461,2.047,26.11
NC,37,198111,2.483,16.815,9.648,24.694
ND,38,198111,-4.316,7.833,1.758,15.433
NE,31,198111,-2.353,12.314,4.98,39.747
NH,33,198111,-2.824,6.695,1.935,72.095
NJ,34,198111,1.711,11.905,6.808,40.112
NM,35,198111,-0.925,17.018,8.047,14.054
NV,32,198111,-1.144,12.399,5.627,31.204
NY,36,198111,-1.843,7.463,2.81,60.158
OH,39,198111,-0.744,11.123,5.19,44.502
OK,40,198111,3.617,16.971,10.294,75.782
OR,41,198111,-0.47,9.577,4.553,143.352
PA,42,198111,-1.131,9.29,4.08,42.924
RI,44,198111,0.97,10.363,5.666,88.085
SC,45,198111,3.68,19.2,11.44,23.161
SD,46,198111,-3.23,10.615,3.692,11.709
TN,47,198111,2.443,16.237,9.34,68.043
TX,48,198111,6.293,22.131,14.212,30.231
UT,49,198111,-2.374,10.968,4.297,21.889
VA,51,198111,1.068,14.294,7.681,22.381
VT,50,198111,-3.036,5.917,1.441,64.87
WA,53,198111,0.168,8.513,4.34,128.233
WI,55,198111,-3.061,7.946,2.442,22.714
WV,54,198111,-1.606,11.912,5.153,37.728
WY,56,198111,-5.592,8.449,1.429,23.028
AL,1,198112,0.173,12.155,6.164,159.319
AR,5,198112,-2.194,10.382,4.094,24.991
AZ,4,198112,-0.56,15.126,7.283,1.077
CA,6,198112,2.34,13.296,7.818,125.735
CO,8,198112,-9.561,5.042,-2.259,36.232
CT,9,198112,-5.945,2.538,-1.704,136.953
DE,10,198112,-2.334,6.463,2.065,104.65
FL,12,198112,7.287,20.443,13.865,70.492
GA,13,198112,0.522,12.537,6.529,153.682
IA,19,198112,-10.357,-0.983,-5.67,32.333
ID,16,198112,-7.504,1.244,-3.13,115.923
IL,17,198112,-7.592,1.941,-2.826,47.383
IN,18,198112,-7.052,2.254,-2.399,72.639
KS,20,198112,-5.596,6.245,0.324,10.377
KY,21,198112,-4.501,5.85,0.675,84.125
LA,22,198112,3.126,15.774,9.45,100.381
MA,25,198112,-6.417,2.011,-2.203,146.97
MD,24,198112,-3.197,5.392,1.098,81.576
ME,23,198112,-8.629,-0.667,-4.648,121.449
MI,26,198112,-7.525,-0.289,-3.907,39.277
MN,27,198112,-15.227,-5.642,-10.434,20.578
MO,29,198112,-6.216,4.472,-0.872,44.377
MS,28,198112,0.364,12.888,6.626,117.172
MT,30,198112,-10.741,-0.322,-5.531,34.315
NC,37,198112,-2.004,8.959,3.478,118.917
ND,38,198112,-15.842,-5.795,-10.819,10.156
NE,31,198112,-8.652,2.859,-2.896,27.151
NH,33,198112,-8.726,-0.56,-4.643,118.96
NJ,34,198112,-4.297,4.803,0.253,110.915
NM,35,198112,-5.047,12.258,3.606,2.615
NV,32,198112,-4.194,8.303,2.055,33.963
NY,36,198112,-7.407,0.305,-3.551,67.726
OH,39,198112,-5.662,2.126,-1.768,66.071
OK,40,198112,-2.023,10.427,4.202,6.715
OR,41,198112,-2.409,5.29,1.44,255.56
PA,42,198112,-6.13,1.351,-2.39,66.772
RI,44,198112,-4.942,3.235,-0.853,175.471
SC,45,198112,-0.403,11.488,5.543,157.336
SD,46,198112,-11.503,-1.468,-6.486,18.897
TN,47,198112,-3.018,7.665,2.323,96.686
TX,48,198112,1.533,16.76,9.147,11.577
