state,st_abb,date,tmin,tmax,tavg,ppt,coal,natural gas,petroleum coke,petroleum liquids
Arizona,AZ,2001-02-01,30.5762,56.431400000000004,43.5038,25.764,1504.0,275.18399999999997,0.0,17.816000000000003
California,CA,2001-02-01,32.9594,52.2626,42.611,114.902,138.0,2492.019,86.0,59.160000000000004
Colorado,CO,2001-02-01,15.191600000000001,38.9498,27.0716,28.451,1567.0,194.076,0.0,8.024000000000001
Connecticut,CT,2001-02-01,19.5656,38.3126,28.94,68.857,149.0,50.355,0.0,112.608
Delaware,DE,2001-02-01,28.9976,47.5772,38.2874,75.487,187.0,5.103,2.0,27.200000000000003
Florida,FL,2001-02-01,53.06,75.8804,64.4702,19.429,2202.0,444.204,56.0,505.51200000000006
Georgia,GA,2001-02-01,41.09,64.5728,52.8314,52.107,2192.0,48.653999999999996,18.0,32.232
Iowa,IA,2001-02-01,8.195,26.3156,17.2562,56.114,1838.0,25.002,1.0,1.9040000000000001
Idaho,ID,2001-02-01,14.774000000000001,33.6434,24.2078,32.191,6.0,14.661,0.0,0.272
Illinois,IL,2001-02-01,20.933600000000002,38.9552,29.9444,80.142,3685.0,101.223,1.0,22.576
Indiana,IN,2001-02-01,24.0476,41.2772,32.6624,72.799,4493.0,97.74,4.0,11.152000000000001
Kansas,KS,2001-02-01,19.452199999999998,39.731,29.5916,61.947,1584.0,23.112,0.0,19.584000000000003
Kentucky,KY,2001-02-01,30.8606,50.5346,40.6976,104.756,3337.0,6.318,0.0,1.9040000000000001
Louisiana,LA,2001-02-01,45.2246,66.6284,55.9256,92.622,952.0,891.5939999999999,61.0,62.696000000000005
Massachusetts,MA,2001-02-01,17.2562,36.9428,27.0986,73.191,387.0,142.371,0.0,226.44000000000003
Maryland,MD,2001-02-01,28.221799999999998,47.4422,37.832,54.542,957.0,19.305,0.0,63.376000000000005
Maine,ME,2001-02-01,2.694200000000002,26.837600000000002,14.7668,71.203,32.0,152.253,0.0,98.05600000000001
Michigan,MI,2001-02-01,13.668800000000001,30.2018,21.9344,67.279,2707.0,231.282,0.0,4.6240000000000006
Minnesota,MN,2001-02-01,-5.601999999999997,16.8782,5.637199999999996,33.888,1683.0,40.716,22.0,4.488
Missouri,MO,2001-02-01,23.2466,43.4714,33.359,111.11,3116.0,18.063,15.0,2.72
Mississippi,MS,2001-02-01,40.64,63.07340000000001,51.8558,140.895,440.0,78.57,0.0,147.15200000000002
Montana,MT,2001-02-01,5.324000000000002,26.5532,15.938600000000001,20.755,929.0,4.104,20.0,0.0
North Carolina,NC,2001-02-01,34.1114,57.4826,45.797,69.843,2168.0,5.022,0.0,26.656000000000002
North Dakota,ND,2001-02-01,-6.0394000000000005,15.105200000000004,4.532,8.873,2065.0,0.189,0.0,2.3120000000000003
Nebraska,NE,2001-02-01,12.014600000000002,30.9488,21.4808,24.675,965.0,2.943,0.0,0.8160000000000001
New Hampshire,NH,2001-02-01,8.7548,31.019,19.886,84.475,130.0,6.615,0.0,3.5360000000000005
New Jersey,NJ,2001-02-01,25.3994,43.6334,34.5164,69.344,438.0,246.483,0.0,32.64
New Mexico,NM,2001-02-01,24.8954,53.2616,39.0776,16.874,1317.0,112.698,0.0,2.8560000000000003
Nevada,NV,2001-02-01,20.2136,42.013400000000004,31.1126,26.39,670.0,277.04699999999997,0.0,22.712000000000003
New York,NY,2001-02-01,15.488599999999998,33.2492,24.368,56.265,922.0,466.695,0.0,463.76000000000005
Ohio,OH,2001-02-01,24.6362,41.471599999999995,33.053,37.798,4348.0,29.052,0.0,7.072000000000001
Oklahoma,OK,2001-02-01,28.877,51.4076,40.1432,102.244,1788.0,211.005,0.0,4.6240000000000006
Oregon,OR,2001-02-01,23.6426,41.783,32.7128,40.766,211.0,214.893,0.0,13.056000000000001
Pennsylvania,PA,2001-02-01,22.3772,38.831,30.6032,39.472,3814.0,46.467,7.0,30.6
Rhode Island,RI,2001-02-01,21.7832,39.8318,30.8066,66.361,0.0,95.688,0.0,4.896000000000001
South Carolina,SC,2001-02-01,38.4044,62.348,50.3762,60.807,1207.0,7.236,0.0,12.920000000000002
South Dakota,SD,2001-02-01,2.2927999999999997,22.2314,12.261200000000002,23.318,191.0,8.154,0.0,3.4000000000000004
Tennessee,TN,2001-02-01,33.2402,54.446,43.8422,175.38,1946.0,12.717,0.0,8.296000000000001
Texas,TX,2001-02-01,39.1658,62.916799999999995,51.0404,50.657,7221.0,3412.611,46.0,66.096
Utah,UT,2001-02-01,20.5196,41.432,30.9758,30.819,1153.0,46.629,0.0,1.088
Virginia,VA,2001-02-01,28.994,52.3868,40.6904,51.527,1355.0,35.289,0.0,79.424
Vermont,VT,2001-02-01,7.784600000000001,29.543,18.663800000000002,82.829,0.0,0.081,0.0,1.088
Washington,WA,2001-02-01,24.2294,39.7184,31.973,53.562,498.0,265.356,0.0,14.416
Wisconsin,WI,2001-02-01,3.865999999999996,24.2042,14.035999999999998,42.068,1982.0,67.446,18.0,8.024000000000001
West Virginia,WV,2001-02-01,26.3318,47.2838,36.8078,56.37,2957.0,15.849,0.0,5.712000000000001
Wyoming,WY,2001-02-01,8.2634,29.354,18.8096,23.539,2226.0,17.226,0.0,1.496
Alabama,AL,2001-03-01,40.452799999999996,61.3238,50.8892,259.668,2732.0,213.84,0.0,16.728
Arkansas,AR,2001-03-01,37.2704,57.299,47.2838,94.837,888.0,55.161,0.0,14.008000000000001
Arizona,AZ,2001-03-01,37.3316,64.8212,51.0764,26.196,1488.0,289.953,0.0,14.688
California,CA,2001-03-01,40.056799999999996,63.2822,51.6704,57.741,108.0,2638.737,80.0,44.336000000000006
Colorado,CO,2001-03-01,22.8074,47.1812,34.9934,38.138,1571.0,244.944,0.0,9.656
Connecticut,CT,2001-03-01,26.1158,41.0612,33.5876,198.231,160.0,77.463,0.0,180.88000000000002
Delaware,DE,2001-03-01,31.838,49.9298,40.882999999999996,141.517,203.0,29.943,5.0,65.41600000000001
Florida,FL,2001-03-01,52.6262,74.759,63.6926,168.023,2213.0,628.209,44.0,587.384
Georgia,GA,2001-03-01,41.9324,64.05799999999999,52.9952,229.121,2696.0,49.842,18.0,35.768
Iowa,IA,2001-03-01,20.7446,37.8122,29.2784,33.004,2009.0,31.563,1.0,2.8560000000000003
Idaho,ID,2001-03-01,24.429199999999998,46.531400000000005,35.4794,39.247,8.0,18.117,0.0,0.272
Illinois,IL,2001-03-01,26.358800000000002,46.0724,36.2156,30.347,3774.0,69.444,1.0,48.96
Indiana,IN,2001-03-01,27.0806,45.986,36.5324,23.784,4710.0,81.324,0.0,10.472000000000001
Kansas,KS,2001-03-01,28.5926,51.1718,39.8822,35.378,1514.0,31.968,0.0,20.128
Kentucky,KY,2001-03-01,30.1496,51.458,40.803799999999995,71.299,3562.0,10.422,0.0,2.04
Louisiana,LA,2001-03-01,45.0212,64.8392,54.9302,238.197,881.0,976.941,67.0,49.096000000000004
Massachusetts,MA,2001-03-01,24.339199999999998,39.236,31.7876,230.451,421.0,217.48499999999999,0.0,223.312
Maryland,MD,2001-03-01,30.965,49.2044,40.0856,128.54,694.0,41.58,0.0,102.95200000000001
Maine,ME,2001-03-01,12.8228,33.5822,23.203400000000002,98.677,37.0,155.142,0.0,64.19200000000001
Michigan,MI,2001-03-01,19.578200000000002,37.754599999999996,28.6664,17.989,2828.0,259.46999999999997,0.0,13.600000000000001
Minnesota,MN,2001-03-01,12.693199999999997,33.0062,22.8506,14.193,1535.0,41.067,23.0,5.032
Missouri,MO,2001-03-01,28.4216,50.239399999999996,39.3314,42.675,2881.0,38.637,9.0,3.672
Mississippi,MS,2001-03-01,41.0144,61.6118,51.3122,195.829,803.0,151.47,0.0,100.64
Montana,MT,2001-03-01,21.776,44.2022,32.9882,19.849,888.0,4.212,21.0,0.0
North Carolina,NC,2001-03-01,35.8304,57.547399999999996,46.688,132.808,2604.0,6.912,0.0,37.808
North Dakota,ND,2001-03-01,16.437199999999997,36.0446,26.2418,2.842,2223.0,0.216,0.0,2.3120000000000003
Nebraska,NE,2001-03-01,24.2042,45.527,34.8656,17.226,1145.0,8.019,0.0,0.9520000000000001
New Hampshire,NH,2001-03-01,17.052799999999998,35.3174,26.1842,168.054,130.0,6.912,0.0,4.216
New Jersey,NJ,2001-03-01,29.1614,46.067,37.6142,155.646,223.0,352.728,0.0,46.784000000000006
